icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a65847,GJS4467 ,United States,1749938442.0,1749938442,-74.1747,40.6964,,True,4.12,219.38,,,,0550,False,0
abb7a3,EJA854  ,United States,1749938517.0,1749938518,-76.8502,39.8606,4099.56,False,190.93,238.67,-7.8,,4236.72,1167,False,0
c060c7,POE537  ,Canada,1749938518.0,1749938518,-80.315,36.5301,11582.4,False,198.77,188.63,0.33,,12169.14,0543,False,0
a8e6e2,PDT5858 ,United States,1749938517.0,1749938518,-75.4963,39.8165,876.3,False,90.34,75.49,0.0,,891.54,1456,False,0
a1feea,MXY731  ,United States,1749938511.0,1749938517,-78.5609,34.0269,4305.3,False,187.22,32.77,11.05,,4541.52,,False,0
a38252,EJA325  ,United States,1749938518.0,1749938518,-74.8125,39.0985,2103.12,False,149.58,57.79,-0.98,,2186.94,,False,0
a6eeb9,JIA5505 ,United States,1749938518.0,1749938518,-77.4605,39.2988,5166.36,False,192.41,0.61,0.0,,5402.58,2466,False,0
ade543,AAL1682 ,United States,1749938518.0,1749938518,-80.7135,31.2092,8534.4,False,235.73,178.25,0.0,,9060.18,1711,False,0
a70eda,LXJ554  ,United States,1749938518.0,1749938518,-76.1989,40.4569,9144.0,False,217.64,243.31,0.0,,9578.34,6633,False,0
c06177,POE517  ,Canada,1749938518.0,1749938518,-78.2238,38.2164,12192.0,False,204.61,213.41,0.0,,12778.74,5521,False,0
a19d59,MXY714  ,United States,1749938518.0,1749938518,-77.8226,38.3052,10972.8,False,212.38,221.96,0.0,,11536.68,1416,False,0
add0d8,N99FS   ,United States,1749938518.0,1749938518,-77.2754,38.7311,762.0,False,69.87,193.63,0.65,,822.96,,False,0
a417fe,FFT3748 ,United States,1749938518.0,1749938518,-79.7801,34.9484,11285.22,False,253.04,31.36,0.0,,11925.3,0452,False,0
aa7e9b,UAL620  ,United States,1749938518.0,1749938518,-74.2179,40.6088,426.72,False,77.11,24.86,-4.23,,449.58,0257,False,0
a764e6,CAP4529 ,United States,1749938518.0,1749938518,-77.8754,38.9019,746.76,False,62.13,154.5,0.0,,731.52,,False,0
a28928,UAL688T ,United States,1749938480.0,1749938504,-77.4387,38.936,,True,0.0,180.0,,,,,False,0
a1b90d,N21VJ   ,United States,1749938518.0,1749938518,-76.7362,35.5516,6096.0,False,119.36,0.49,3.9,,6431.28,1347,False,0
abdb88,RPA4793 ,United States,1749938518.0,1749938518,-79.9727,40.277,10363.2,False,226.43,271.43,0.0,,10888.98,1552,False,0
a0232a,RPA4495 ,United States,1749938518.0,1749938518,-80.5823,38.4706,9144.0,False,221.73,256.45,-0.33,,9593.58,6257,False,0
add2b6,AAL2165 ,United States,1749938518.0,1749938518,-79.0687,32.6511,10683.24,False,245.43,14.44,0.0,,11323.32,6714,False,0
a4afbe,AAL3133 ,United States,1749938518.0,1749938518,-74.6884,39.1816,3611.88,False,184.92,319.17,-4.88,,3764.28,6644,False,0
ab68d0,SKW3714 ,United States,1749938518.0,1749938518,-80.3492,33.5615,5951.22,False,207.68,5.26,8.45,,6294.12,7306,False,0
ad7078,WUP965  ,United States,1749938441.0,1749938450,-80.0042,37.8664,6499.86,False,238.9,185.81,-5.2,,6835.14,7406,False,0
a5397a,FCE43   ,United States,1749938430.0,1749938430,-77.0686,34.8033,2400.3,False,82.72,284.04,-0.33,,2514.6,,False,0
a38367,JBU2473 ,United States,1749938518.0,1749938518,-79.6021,35.4094,8534.4,False,173.57,212.04,0.0,,9022.08,1633,False,0
a8d4f6,UAL413  ,United States,1749938514.0,1749938518,-79.1727,33.3132,10058.4,False,237.16,359.63,0.0,,10645.14,1564,False,0
a1ecfd,RPA5675 ,United States,1749938518.0,1749938518,-78.2101,37.9545,9753.6,False,222.34,216.82,-0.33,,10302.24,3004,False,0
ab9e5b,N848JB  ,United States,1749938518.0,1749938518,-74.3478,40.7857,563.88,False,56.86,28.65,0.33,,579.12,3536,False,0
a9f4c6,RPA3566 ,United States,1749938518.0,1749938518,-79.0355,39.013,7002.78,False,183.75,274.66,7.8,,7338.06,2452,False,0
a3965c,FFT1384 ,United States,1749938518.0,1749938518,-80.681,35.186,3108.96,False,167.04,46.62,4.23,,3268.98,,False,0
abb995,SWA3335 ,United States,1749938517.0,1749938518,-79.6923,37.6967,10607.04,False,210.78,237.36,7.8,,11155.68,2146,False,0
a75359,JIA5474 ,United States,1749938518.0,1749938518,-80.7153,33.5141,3992.88,False,172.72,188.56,-4.88,,4206.24,1160,False,0
ac899f,EPI907  ,United States,1749938518.0,1749938518,-80.9749,29.0559,152.4,False,48.55,9.76,-2.93,,175.26,,False,0
ac501e,SWA756  ,United States,1749938518.0,1749938518,-80.418,34.5285,8404.86,False,261.88,52.34,-5.2,,8907.78,4111,False,0
a1db22,MXY500  ,United States,1749938518.0,1749938518,-80.6869,33.2529,3390.9,False,161.81,148.79,-5.85,,3581.4,3437,False,0
a2b2e1,AAY529  ,United States,1749938518.0,1749938518,-80.4433,31.3506,10980.42,False,235.07,171.57,0.33,,11635.74,2115,False,0
ad3fd9,AAL3103 ,United States,1749938518.0,1749938518,-77.1268,39.3542,10972.8,False,214.61,219.26,0.0,,11544.3,1312,False,0
